PIB Municipal - preços de mercado (preços de 2010)
Sigla,Código,Município,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
AC,1200013,Acrelândia,75272.1018213869,81950.126679936,91444.7321390801,93049.6136624331,95017.6648338876,98519.3793918769,102986.398615381,102113.100044828,121915,131797.318517214,138723.542505857,170769.392426596,153306.198269222,146046.968189846,152004.775823508,140523.351260262,148238.605646315,142238.290498441,153871.583026194,186127.736404867,
AC,1200054,Assis Brasil,24295.1687606133,24334.8529320816,27282.7999244852,31257.4749356871,32193.5347748163,35347.0959532642,39111.0587926152,38394.8725715379,42017,43003.697745535,45162.4033565052,51395.022126712,54095.57280499,52966.4658842444,54126.920757954,56139.2146743227,52631.1525036248,52088.0764151892,50826.6680356397,62512.9649467533,
AC,1200104,Brasiléia,138675.481046791,143296.380161554,130793.270399648,134731.389767003,133228.066963179,145919.132838815,157443.603851447,173004.615582426,190699,187852.33064047,204155.786967356,234591.123410917,251487.759695068,266165.509234245,246471.547546952,237435.289880442,257400.447171191,255093.635566406,257561.890894365,320059.882569911,
AC,1200138,Bujari,50804.0011015312,59570.6539716324,57716.3976924751,69448.7921808089,66538.9174970214,66331.3871082522,68503.7833102693,66707.4589112128,86265,94814.7477697331,92295.3431647363,95634.742110957,95820.9844202282,101406.704008228,101308.604314974,96867.2685889928,92637.2700495234,89393.3763837615,94552.9589917016,140429.636824067,
AC,1200179,Capixaba,61727.1879236587,65467.8706690615,69382.1716598878,70706.7457402172,74397.2119528422,79844.2551866817,73057.7237341514,79347.4516944216,108531,107229.05239145,110884.583519885,126335.554839198,109963.791405136,109818.629721465,112590.491269798,104631.899078539,96178.416966791,85856.9721665434,76347.9193416627,239170.115067385,
AC,1200203,Cruzeiro do Sul,497736.673248558,486916.199324604,502060.665781857,532285.522721843,539223.361764463,620568.247928696,695886.277113845,739254.173909158,771040,700233.435888595,717276.123695797,771525.187116981,848822.181122579,727307.194538844,776067.453177791,788069.302126331,820718.040860141,808956.678707004,946415.092164472,960983.489861815,
AC,1200252,Epitaciolândia,102199.803411637,106502.520120256,114564.619133369,118203.461921159,118713.248933137,134337.799304509,149615.439247876,145534.478581622,144997,147402.21113422,158875.356687961,213280.35195325,189946.779478297,189532.358500513,261531.826241707,266766.978578206,257769.377642148,237455.440271377,228808.398071254,300876.903825609,
AC,1200302,Feijó,138336.708879329,142119.807145906,149686.649908142,163111.528277509,170010.169465709,161435.657110862,169828.416409963,187468.288916446,200521,189316.529876734,192025.527203975,212577.073423792,228314.270303044,221111.712425439,218556.743696688,214709.870452529,214361.486912455,203671.935923002,203962.091565289,264698.405294416,
AC,1200328,Jordão,27638.4591807682,27975.0223333611,24779.7384288786,27882.3434215209,30205.1681793166,37287.3762741636,41390.6649786104,41468.674213363,41234,42163.5834296458,44590.2293607566,46358.3067760384,51986.5447865333,49894.8031360308,46777.5808810067,48113.907016477,45757.9192692989,46128.3306998997,43729.9849463671,53204.360791886,
AC,1200336,Mâncio Lima,59102.8486976008,62231.771197617,56319.837886273,60695.2904606795,64412.7936943877,71951.2739152355,78155.9628393486,87178.8694224296,95419,96722.0842275651,104142.509366693,119442.788799356,138483.987714885,123421.315725219,127560.053037284,118969.755253224,117734.497341294,115303.408807148,113807.61960133,125666.856301642,
AC,1200344,Manoel Urbano,37872.9026665573,39791.16715212,37468.1619296944,37058.306917336,39471.0441879425,42579.6116037868,51035.3548740607,54292.9866717429,55803,54974.8651456843,56600.751666133,63659.4359390613,69816.2779820906,81401.4630999581,81737.220236968,82854.3409973292,80981.9951868848,73962.7648461924,73042.8534442717,86314.5350108611,
AC,1200351,Marechal Thaumaturgo,50750.1281105042,53064.1003928113,48815.5474280194,52730.8222001117,53204.222729722,74439.5777718568,80951.186726551,91117.8893041758,96005,87663.6208566802,102383.224001588,116422.032491268,119780.841027249,109489.449520718,111722.653811734,119534.555784538,112468.161269359,109244.212258295,110700.973754621,119906.454352339,
AC,1200385,Plácido de Castro,102752.585741493,104617.229548004,106481.496602473,119443.999003109,102600.715655911,114382.61612511,124854.54874008,129433.612838728,132633,140995.185472383,152915.852349581,158839.911036081,174834.660560457,173483.452129963,153887.627852406,147613.647854349,153581.07022813,155148.35718084,141120.983918297,280771.047070467,
AC,1200393,Porto Walter,31409.2512951115,32577.8791676935,27691.6189769842,28345.0495155351,30721.3970022328,42953.1448689748,48649.964157905,51947.7898635356,60318,55903.6069058871,57993.1272492102,65283.9775195502,71185.4126453489,67021.7746640252,68068.1458883635,68969.9162351088,65684.8495323681,66511.2566274529,68282.8830795157,74938.9081792097,
AC,1200401,Rio Branco,3495708.27657624,3410105.5042917,3673676.66062528,3879382.36114116,3955769.85190627,4311148.78915852,4640600.46021746,5075587.04205405,5125851,5093019.47800009,5363056.99409081,5415866.01226563,6030367.64024738,5663332.07250115,4999220.81529319,4989062.99706352,5218351.686553,5130285.87066407,4940705.70070768,5114188.94861721,
AC,1200427,Rodrigues Alves,50815.8251193094,52324.5099540433,50392.8015064796,56325.9841809818,57378.43167265,70117.1718808022,75833.4782972101,87561.6038067556,124221,105298.635869995,93721.0741825432,120967.884886427,126515.862296403,114163.808371315,116548.413711945,113209.768902991,109547.754509575,107240.025120892,106629.141012442,119338.816688615,
