ano,id_municipio_nascimento,total_observations,non_null_semana_gestacao,non_null_pre_natal_agr,gestacao_under_38,pre_natal_above_0
2014,2705804,24,14,24,2,23
2014,2708006,3729,3722,3729,659,3701
2014,2703007,75,68,75,15,70
2014,5105259,1066,1066,1066,195,1064
2014,1300607,1077,1076,1077,59,1069
2014,1303106,741,655,741,143,677
2014,1503002,160,145,160,30,156
2014,1500503,645,581,645,127,625
2014,2207702,4558,4558,4558,832,4482
2014,2108009,329,319,329,50,304
2014,2105351,187,179,187,31,185
2014,2108256,148,54,148,9,127
2014,2107209,100,94,100,22,95
2014,1501709,3918,3364,3918,739,2866
2014,1721000,6841,6840,6841,1479,6827
2014,2207900,421,421,421,66,414
2014,2206209,141,139,141,25,137
2014,2111904,69,69,69,7,67
2014,2306702,49,48,49,6,49
2014,2309805,25,8,25,0,25
2014,2308500,396,392,396,62,395
2014,2312403,384,375,384,69,378
2014,5201108,7543,7529,7543,1163,7365
2014,2307635,67,66,67,20,66
2014,2312007,98,95,98,19,96
2014,3112307,701,668,701,120,698
2014,4313409,5175,5173,5175,1217,5148
2014,2512101,690,690,690,101,688
2014,3159803,256,242,256,99,255
2014,5204300,154,153,154,28,153
2014,5204409,151,151,151,14,150
2014,2403103,872,871,872,182,866
2014,2210706,256,256,256,52,253
2014,2205904,101,98,101,8,100
2014,2601904,467,321,467,28,420
2014,2610707,1070,1062,1070,163,1061
2014,2605905,54,49,54,9,50
2014,5007406,138,135,138,20,134
2014,5002209,346,337,346,86,341
2014,5103858,102,101,102,22,93
2014,5108055,87,87,87,19,85
2014,5103254,425,386,425,53,422
2014,5005608,469,460,469,124,464
2014,3540408,84,83,84,3,84
2014,4114609,465,465,465,80,461
2014,3504008,2120,2113,2120,545,2105
2014,2911709,2148,2148,2148,545,2117
2014,2901205,45,39,45,10,39
2014,2912004,299,297,299,41,296
2014,2802106,3515,3339,3515,358,3456
2014,2917607,663,646,663,94,649
2014,2933257,32,28,32,3,32
2014,2910057,613,528,613,92,574
2014,2925253,172,160,172,24,169
2014,2922656,80,75,80,23,79
2014,2920601,18,13,18,5,15
2014,3303609,1342,1309,1342,351,1339
2014,3162401,198,191,198,35,197
2014,3107307,794,774,794,90,781
2014,3136009,245,139,244,19,239
2014,3149804,121,120,121,17,120
2014,3146305,209,199,209,48,202
2014,3110905,99,99,99,22,90
2014,3152600,78,77,78,9,77
2014,3111606,212,212,212,38,209
2014,3160702,460,310,460,75,431
2014,2501005,79,50,79,6,79
2014,1507151,223,220,223,35,220
2014,2515500,47,40,47,8,46
2014,1501907,233,158,233,27,222
2014,1505205,580,506,580,121,530
2014,4108205,120,120,120,12,120
2014,4101200,167,167,167,9,164
2014,4111407,141,137,141,20,140
2014,4108007,154,151,154,20,152
2014,4106704,56,56,56,4,56
2014,4111704,38,38,38,7,38
2014,4127809,179,179,179,52,177
2014,4219507,1295,1283,1295,310,1282
2014,3513801,4552,4549,4552,861,4526
2014,3543303,1491,1475,1491,331,1478
2014,3539301,768,767,768,179,765
2014,3524303,952,947,952,146,945
2014,3503703,20,20,20,6,20
2014,3503208,3785,3778,3785,864,3767
2014,3501707,232,232,232,33,230
2014,3506409,191,173,191,45,190
2014,3556701,26,26,26,1,25
2014,3534757,102,102,102,0,102
2014,3539004,92,92,92,12,92
2014,4303103,1668,1664,1668,389,1617
2014,4319604,256,254,256,42,249
2014,4204905,57,56,57,7,57
2014,4212205,247,231,247,45,246
2014,4309407,300,300,300,89,298
2014,4218756,19,19,19,1,19
2014,2410603,18,18,18,1,18
2014,2414407,30,26,30,5,30
2013,1301001,627,589,627,140,560
2013,1302306,619,583,619,119,548
2013,1300607,1037,1037,1037,108,1030
