"","id_municipio","ano","saude","saneamento","turismo","comercio","agro","gastos"
"1",1200013,2008,9632270.66,11680,0,0,886652.28,82426703.36
"2",1200013,2012,9544791.92,NA,NA,NA,880879.22,69129944.28
"3",1200013,2016,12239495.92,NA,NA,NA,2494561.5,92068435.56
"4",1200013,2020,29353382.62,NA,NA,NA,24880014.02,221966696.73
"5",1200054,2008,6638378.62,0,0,48345.05,144563.5,53511781.52
"6",1200054,2012,7193315.66,NA,NA,NA,75128.96,49993083.36
"7",1200054,2016,9480624.56,936921,160012.99,160012.99,104481,70740151.77
"8",1200054,2020,15917730.52,NA,120000,120000,5791635.88,151381466.22
"9",1200104,2008,10297878.28,902900.88,0,376000,948482.37,123916988.52
"10",1200104,2012,15660669.72,NA,NA,NA,1098016.7,122458503.72
"11",1200104,2016,25838015.98,204547.42,NA,NA,6909281.28,199046468.79
"12",1200104,2020,45247879.52,NA,NA,NA,14609967.2,371276031.06
"13",1200138,2008,3775923.7,62.4,0,0,1127662.52,48086992.32
"14",1200138,2012,6242382.4,62313.54,NA,NA,863909.8,58296469.8
"15",1200138,2016,13935157.96,NA,NA,NA,1127414.3,76029627.81
"16",1200138,2020,21600166.08,2145835.16,NA,NA,4426439.5,140104661.67
"17",1200179,2008,4193066.42,380,0,0,80046.07,45774163.56
"18",1200179,2012,6339421.62,NA,NA,NA,71604.6,51844228.29
"19",1200179,2016,12890052.42,NA,NA,NA,304873.18,79948303.65
"20",1200179,2020,NA,NA,NA,NA,NA,NA
"21",1200203,2008,34724799.42,23947.6,0,215423.38,2364351.86,327907987.52
"22",1200203,2012,49030305,433789.4,NA,NA,2118513.18,339668248.29
"23",1200203,2016,64276903.2,1333063.88,1089657.53,3497416.15,16196100.08,564523542
"24",1200203,2020,155470343.72,20423513.46,151095.09,1042966.03,32760700.3,1059234052.92
"25",1200252,2008,7400384.46,45790.32,0,0,1557067.94,76154198.6
"26",1200252,2012,8874228.44,NA,35996.25,35996.25,1353597.86,72875948.43
"27",1200252,2016,16097628.96,293318.96,NA,NA,2772837.6,114554753.94
"28",1200252,2020,31741339.92,240323.46,1317908.67,1317908.67,3642484.16,240154856.46
"29",1200302,2008,11914495.66,0,0,0,1184858.94,142164727.4
"30",1200302,2012,14025882.54,NA,NA,NA,629662.26,114911457.48
"31",1200302,2016,NA,NA,NA,NA,NA,3
"32",1200302,2020,47375437.64,NA,NA,NA,2799027.1,311790235.2
"33",1200328,2008,5562291.38,299917.84,0,0,42891.94,63234058.24
"34",1200328,2012,6412452.44,NA,NA,NA,2527480.06,67676945.28
"35",1200328,2016,8674484.48,1306852.86,NA,NA,1105286.4,90360705.99
"36",1200328,2020,15718819.22,NA,NA,NA,3122613.46,155437609.5
"37",1200336,2008,9459952.66,0,0,0,671359.66,89847682.32
"38",1200336,2012,9777470.32,NA,NA,NA,1140307.8,90298601.22
"39",1200336,2016,17676651.8,1188968.28,NA,NA,2761297.8,142103189.61
"40",1200336,2020,26305180.8,1675399.44,NA,NA,10347663.78,255508233.18
"41",1200344,2008,624585306,0,0,0,115786746,5816522780
"42",1200344,2012,5037520.1,NA,NA,NA,780036.66,47684608.92
"43",1200344,2016,8774362.58,1174629.3,NA,NA,2736914.8,85586903.58
"44",1200344,2020,18312725.9,76966.28,NA,NA,12972992.66,162890466.75
"45",1200351,2008,8340191.1,0,0,0,2819593.72,101460712.44
"46",1200351,2012,9805276.68,NA,NA,NA,2012421.78,119353770.03
"47",1200351,2016,19745863.38,622356,NA,NA,2114297.56,161039894.55
"48",1200351,2020,29447475.04,591516.24,NA,NA,11031401.2,265854495.21
"49",1200385,2008,2222857.2,0,0,0,89296,97375115.88
"50",1200385,2012,7403242.78,NA,NA,NA,30230.2,93270918
"51",1200385,2016,23525408.8,NA,NA,NA,509254.38,132967233.71
"52",1200385,2020,31266911,17059.9,NA,NA,2362362.12,230545024.68
